blue team,red team,result,game time,blue gold,red gold
Golden Guardians,TSM,Defeat,35:30,59.2,69.8
Golden Guardians,TSM,Victory,34:37,70,55.5
Team Liquid,FlyQuest,Victory,36:13,67.9,61.7
Golden Guardians,CLG,Defeat,34:03,52.8,61.8
Team Liquid,100 Thieves,Defeat,25:13,39.4,47.5
CLG,FlyQuest,Defeat,48:56,87.9,85.9
Team Liquid,100 Thieves,Defeat,40:12,67.8,74
CLG,Team Liquid,Victory,33:32,62.3,56.9
Golden Guardians,Cloud9,Defeat,31:15,53.6,59.7
Dignitas,TSM,Victory,29:27,59,52.1
Evil Geniuses,Golden Guardians,Victory,28:51,56.8,47.7
Cloud9,100 Thieves,Victory,30:45,64.1,49.5
TSM,CLG,Victory,26:59,55.4,42.4
Cloud9,100 Thieves,Defeat,26:16,43.5,51.2
Golden Guardians,Dignitas,Victory,41:25,76.7,67.2
CLG,Team Liquid,Defeat,28:41,49.4,56.7
CLG,Dignitas,Defeat,37:15,62,72.7
Evil Geniuses,Team Liquid,Defeat,36:24,58.8,66.9
Evil Geniuses,Team Liquid,Victory,30:31,63.5,47.5
Immortals,CLG,Defeat,33:06,60.5,61.3
Team Liquid,Golden Guardians,Victory,31:14,66.1,55.5
Golden Guardians,Team Liquid,Defeat,31:21,49.5,62.9
Cloud9,Team Liquid,Victory,37:57,73,62.5
100 Thieves,Immortals,Victory,32:18,56.7,52
Team Liquid,Evil Geniuses,Victory,24:34,52.8,37.4
Immortals,Golden Guardians,Victory,33:02,62.8,53
Evil Geniuses,Team Liquid,Victory,32:14,60,52.8
Cloud9,100 Thieves,Victory,33:02,66.9,51.9
Evil Geniuses,CLG,Defeat,42:27,81.3,81.9
100 Thieves,Team Liquid,Defeat,32:56,52.2,61.8
Golden Guardians,Cloud9,Defeat,26:05,42.5,48.1
Dignitas,Immortals,Victory,31:28,58.4,46.7
100 Thieves,Evil Geniuses,Victory,32:34,64.4,52.8
Immortals,TSM,Victory,30:47,60.3,46.9
Cloud9,FlyQuest,Defeat,31:11,50,61.6
CLG,Team Liquid,Defeat,27:20,43.7,52.8
Evil Geniuses,FlyQuest,Victory,32:37,62.5,50.2
FlyQuest,Immortals,Defeat,32:24,52.3,60.7
FlyQuest,Immortals,Defeat,30:07,46.1,57.7
Cloud9,100 Thieves,Defeat,34:57,63.6,67.6
100 Thieves,Cloud9,Victory,34:04,65.3,59.9
Team Liquid,Evil Geniuses,Defeat,41:41,65.4,72.2
TSM,FlyQuest,Victory,31:35,63,49.1
CLG,100 Thieves,Defeat,28:24,45.2,57.2
Cloud9,TSM,Victory,28:29,61.4,45.6
CLG,Dignitas,Victory,29:20,65,51.7
TSM,Dignitas,Victory,31:22,60.6,48.3
Evil Geniuses,Team Liquid,Victory,44:45,80.2,78.6
Team Liquid,Evil Geniuses,Defeat,28:38,43.7,54.2
Immortals,Dignitas,Defeat,30:51,45,61.9
100 Thieves,Team Liquid,Defeat,28:17,44.2,55.9
100 Thieves,CLG,Victory,31:29,65.8,48.6
Dignitas,FlyQuest,Defeat,35:29,56.8,66.6
Immortals,100 Thieves,Defeat,30:57,47.3,59.9
Evil Geniuses,Golden Guardians,Victory,28:33,56.2,47.3
Dignitas,100 Thieves,Victory,29:44,60.2,50.4
Evil Geniuses,Team Liquid,Defeat,32:42,52.7,61.6
Team Liquid,Evil Geniuses,Defeat,32:49,52.6,62.9
100 Thieves,Cloud9,Defeat,43:56,77.9,78.3
Evil Geniuses,Team Liquid,Victory,34:45,62.5,53.4
Immortals,Cloud9,Victory,41:51,76.6,74.5
FlyQuest,Immortals,Victory,28:18,52.9,41.4
Evil Geniuses,100 Thieves,Victory,30:32,57.2,48.8
Evil Geniuses,100 Thieves,Victory,23:29,46.2,35.3
100 Thieves,Team Liquid,Victory,31:39,54.8,50.4
TSM,Dignitas,Defeat,37:54,64.2,70.3
Cloud9,Evil Geniuses,Victory,38:47,73.3,67
Team Liquid,TSM,Victory,27:32,53.6,45.6
CLG,Evil Geniuses,Victory,38:28,72.1,69.4
Evil Geniuses,CLG,Victory,21:48,45.9,35
Evil Geniuses,Team Liquid,Defeat,27:37,45.7,54
Team Liquid,Evil Geniuses,Defeat,30:24,50.7,64.9
100 Thieves,Cloud9,Victory,36:36,68.1,58.5
Golden Guardians,Dignitas,Victory,31:41,59.7,50.6
Evil Geniuses,Dignitas,Victory,30:58,62.5,48.2
100 Thieves,Evil Geniuses,Defeat,24:33,37.9,51.2
Evil Geniuses,Cloud9,Defeat,31:38,48.8,64
FlyQuest,Golden Guardians,Victory,34:09,60.1,59.2
Immortals,Team Liquid,Defeat,29:05,46.6,60.8
Cloud9,FlyQuest,Victory,32:51,67.9,53.8
Cloud9,FlyQuest,Defeat,35:49,64.9,70.3
Evil Geniuses,Team Liquid,Defeat,31:38,53.3,60.7
Cloud9,100 Thieves,Victory,31:12,59.2,46.1
100 Thieves,Cloud9,Defeat,43:24,72.9,79.2
CLG,Immortals,Victory,34:11,65.1,53.4
Cloud9,Evil Geniuses,Victory,35:13,65.5,59.9
Immortals,Golden Guardians,Defeat,36:36,63.1,69.5
Dignitas,100 Thieves,Victory,34:29,66.8,57.7
Golden Guardians,Immortals,Victory,29:44,57.9,44.6
Cloud9,Golden Guardians,Victory,28:25,59.7,46.2
100 Thieves,Evil Geniuses,Defeat,36:08,56.9,68.6
