blue team,red team,result,game time,blue gold,red gold
Evil Geniuses,100 Thieves,Defeat,48:31,85.9,91.2
Golden Guardians,Dignitas,Victory,26:45,52.2,44.2
Golden Guardians,Team Liquid,Defeat,26:47,43.7,50.8
Team Liquid,FlyQuest,Defeat,41:03,70.4,72.9
Cloud9,CLG,Victory,35:32,69.1,57
Evil Geniuses,FlyQuest,Victory,30:09,60.9,48.7
Immortals,TSM,Defeat,31:21,54,63.9
Cloud9,Dignitas,Victory,29:52,59.8,48.2
Immortals,CLG,Defeat,35:02,62.7,62.5
TSM,100 Thieves,Defeat,27:58,45.2,59
Dignitas,Team Liquid,Defeat,39:08,65.9,77
Golden Guardians,Evil Geniuses,Victory,32:06,61,51.3
Cloud9,100 Thieves,Defeat,28:13,45.3,56
TSM,CLG,Victory,26:59,55.4,42.4
FlyQuest,Immortals,Defeat,30:07,46.1,57.7
Dignitas,100 Thieves,Victory,29:44,60.2,50.4
Cloud9,100 Thieves,Defeat,26:16,43.5,51.2
Evil Geniuses,CLG,Victory,21:48,45.9,35
Cloud9,100 Thieves,Defeat,34:57,63.6,67.6
Cloud9,FlyQuest,Defeat,35:49,64.9,70.3
100 Thieves,Team Liquid,Defeat,22:58,33.9,48.2
100 Thieves,Cloud9,Victory,34:04,65.3,59.9
Golden Guardians,Immortals,Victory,29:44,57.9,44.6
Team Liquid,100 Thieves,Victory,30:56,60.3,51.2
Evil Geniuses,Team Liquid,Defeat,32:42,52.7,61.6
Team Liquid,TSM,Victory,32:02,64.2,57.6
100 Thieves,Team Liquid,Victory,30:30,60.1,48.7
Team Liquid,Evil Geniuses,Defeat,32:49,52.6,62.9
Golden Guardians,FlyQuest,Defeat,37:04,60.8,65
Team Liquid,100 Thieves,Defeat,31:45,53.9,56.3
Evil Geniuses,Team Liquid,Defeat,27:37,45.7,54
FlyQuest,Evil Geniuses,Defeat,30:29,49.5,60
100 Thieves,Team Liquid,Victory,34:09,60.3,61.3
Team Liquid,Evil Geniuses,Defeat,30:24,50.7,64.9
Evil Geniuses,Cloud9,Victory,32:44,61.7,56.3
Evil Geniuses,Team Liquid,Defeat,31:38,53.3,60.7
Evil Geniuses,Cloud9,Victory,28:29,56.4,46.5
Cloud9,Golden Guardians,Victory,28:25,59.7,46.2
Evil Geniuses,Cloud9,Victory,33:07,62.7,54.7
Cloud9,Golden Guardians,Victory,33:19,65.3,54.8
Evil Geniuses,Team Liquid,Victory,32:14,60,52.8
Cloud9,Golden Guardians,Victory,28:38,58.1,45
Evil Geniuses,Team Liquid,Victory,44:45,80.2,78.6
FlyQuest,Evil Geniuses,Defeat,33:03,50.4,57.1
Team Liquid,Evil Geniuses,Defeat,28:38,43.7,54.2
FlyQuest,Evil Geniuses,Victory,51:13,95.1,94.5
Evil Geniuses,100 Thieves,Victory,30:32,57.2,48.8
FlyQuest,Evil Geniuses,Defeat,38:33,60.3,72.4
Evil Geniuses,100 Thieves,Victory,23:29,46.2,35.3
FlyQuest,Evil Geniuses,Defeat,34:29,54.6,66.8
100 Thieves,Evil Geniuses,Defeat,24:33,37.9,51.2
Cloud9,Evil Geniuses,Defeat,45:11,76.7,81.5
Golden Guardians,FlyQuest,Defeat,28:40,42.9,55.3
100 Thieves,TSM,Victory,35:11,65.8,59.3
Immortals,Team Liquid,Defeat,25:21,36.6,52.2
Dignitas,CLG,Defeat,30:35,45.9,61
Cloud9,Golden Guardians,Defeat,29:29,45.7,55.4
Team Liquid,Dignitas,Victory,25:26,51.6,39
Evil Geniuses,100 Thieves,Victory,31:01,60,50.8
TSM,CLG,Defeat,33:09,55.6,66.1
FlyQuest,Immortals,Defeat,34:21,60.9,63.4
100 Thieves,Dignitas,Victory,37:15,72.3,59.4
FlyQuest,Evil Geniuses,Defeat,35:57,61.4,75.2
Team Liquid,Cloud9,Victory,30:38,57.9,50.2
Dignitas,Cloud9,Defeat,33:53,59.4,60.7
Golden Guardians,CLG,Defeat,31:54,53,60.6
Immortals,TSM,Defeat,29:58,48.9,56.2
100 Thieves,Golden Guardians,Victory,39:10,76.9,70.2
TSM,Evil Geniuses,Defeat,25:56,38.9,48.9
TSM,Team Liquid,Victory,28:55,56.9,49
Evil Geniuses,Immortals,Victory,40:08,78.3,63.9
FlyQuest,Dignitas,Victory,31:05,55.9,49.3
CLG,FlyQuest,Defeat,40:12,70.8,73.4
100 Thieves,Team Liquid,Victory,32:31,59.3,55.4
Golden Guardians,TSM,Victory,34:37,70,55.5
Golden Guardians,Immortals,Victory,31:54,61.4,47.5
CLG,Cloud9,Defeat,30:52,48,58.3
Team Liquid,FlyQuest,Victory,36:13,67.9,61.7
Cloud9,100 Thieves,Victory,33:02,66.9,51.9
Dignitas,TSM,Victory,29:27,59,52.1
Evil Geniuses,CLG,Defeat,42:27,81.3,81.9
Evil Geniuses,Golden Guardians,Victory,28:51,56.8,47.7
Cloud9,FlyQuest,Defeat,31:11,50,61.6
Immortals,Dignitas,Defeat,30:51,45,61.9
100 Thieves,FlyQuest,Defeat,26:59,42.8,49.8
CLG,Team Liquid,Defeat,27:20,43.7,52.8
Immortals,100 Thieves,Defeat,30:57,47.3,59.9
Dignitas,Evil Geniuses,Defeat,37:03,61.5,69.7
TSM,Cloud9,Defeat,31:04,49.6,67
Immortals,CLG,Defeat,33:06,60.5,61.3
Team Liquid,Golden Guardians,Victory,31:14,66.1,55.5
TSM,FlyQuest,Victory,31:35,63,49.1
CLG,100 Thieves,Defeat,28:24,45.2,57.2
Evil Geniuses,CLG,Victory,25:22,50.9,35
Evil Geniuses,Team Liquid,Victory,34:45,62.5,53.4
Immortals,Cloud9,Victory,41:51,76.6,74.5
Immortals,Team Liquid,Defeat,34:47,57.1,66.4
TSM,100 Thieves,Defeat,27:05,41.8,51.5
Golden Guardians,Dignitas,Victory,31:41,59.7,50.6
Dignitas,Cloud9,Defeat,35:16,59.2,66.8
FlyQuest,Golden Guardians,Victory,29:35,58.8,46.3
CLG,Team Liquid,Victory,33:32,62.3,56.9
