blue team,red team,result,game time,blue gold,red gold
Rogue,G2 Esports,Defeat,38:22,64,75.3
Rogue,Misfits Gaming,Defeat,46:56,83.5,83.7
Team Vitality,Excel,Victory,35:34,64.6,57.4
Excel,Fnatic,Victory,26:41,54.3,40.2
Team BDS,G2 Esports,Defeat,33:12,54.3,62.5
Fnatic,MAD Lions,Defeat,32:29,55,61.5
Misfits Gaming,Astralis,Victory,29:27,59.3,48.1
Misfits Gaming,SK Gaming,Victory,26:55,54.7,43.2
Team Vitality,Team BDS,Victory,24:26,50.1,36
Fnatic,SK Gaming,Victory,24:54,50.5,37.8
Astralis,Rogue,Victory,31:32,64.8,51.7
MAD Lions,Excel,Victory,35:18,69.2,57.7
Rogue,MAD Lions,Victory,33:17,64.7,53.7
Excel,G2 Esports,Defeat,28:30,45.1,55.9
Fnatic,Team BDS,Victory,29:21,57.9,47
G2 Esports,Team Vitality,Defeat,28:27,43.7,58.1
Astralis,Team Vitality,Victory,44:19,80,76.9
Team BDS,Excel,Victory,42:13,79,66.8
Misfits Gaming,MAD Lions,Victory,33:04,62.3,56.5
SK Gaming,Rogue,Victory,31:43,56.9,49.9
Fnatic,G2 Esports,Defeat,32:18,50.3,66.6
Team BDS,Misfits Gaming,Defeat,27:08,41.7,55.3
SK Gaming,Team Vitality,Victory,39:44,71.8,64.7
Rogue,Excel,Victory,33:40,66.7,51.2
Astralis,Fnatic,Defeat,32:20,52,59
G2 Esports,MAD Lions,Victory,35:40,72,62.4
Rogue,MAD Lions,Defeat,38:03,62.2,70.3
Rogue,Team BDS,Defeat,32:44,53.5,62.6
Excel,SK Gaming,Victory,47:21,81.8,77.9
MAD Lions,Rogue,Defeat,36:25,60.8,71.1
Astralis,MAD Lions,Defeat,48:26,83.4,90.7
Team Vitality,Fnatic,Defeat,51:12,87.9,92.5
MAD Lions,Rogue,Victory,29:47,53.9,44.7
G2 Esports,Misfits Gaming,Victory,29:28,58.1,44.6
Rogue,MAD Lions,Victory,27:29,56.8,43.8
MAD Lions,Rogue,Defeat,44:14,72.1,77.7
Excel,Astralis,Victory,31:35,59.5,50.9
G2 Esports,Misfits Gaming,Victory,30:39,64.8,46.8
MAD Lions,Team BDS,Victory,36:17,70.5,58.8
Misfits Gaming,G2 Esports,Victory,25:04,51.4,38.5
SK Gaming,G2 Esports,Defeat,31:35,50.2,64.7
G2 Esports,Misfits Gaming,Victory,39:49,78.7,71.5
MAD Lions,Fnatic,Defeat,19:37,31.4,41.8
Team Vitality,Rogue,Defeat,34:33,57,64.5
Misfits Gaming,G2 Esports,Defeat,31:03,48.9,62.8
Fnatic,Excel,Defeat,40:24,67.1,70.6
MAD Lions,Fnatic,Victory,33:59,62.1,53.6
Misfits Gaming,Fnatic,Defeat,36:60,63.8,68.7
Fnatic,Excel,Defeat,34:18,55.5,64.8
Fnatic,Excel,Victory,45:38,86.7,79.7
Fnatic,MAD Lions,Victory,31:32,60.6,50.2
MAD Lions,Fnatic,Defeat,28:38,49.8,55.8
Excel,Team Vitality,Victory,32:12,61.5,51.1
Excel,Fnatic,Defeat,38:47,62.4,73.2
G2 Esports,Rogue,Victory,29:08,58.5,47.3
Rogue,G2 Esports,Defeat,38:27,65.2,67.1
Misfits Gaming,Fnatic,Victory,29:15,58.8,49.6
Excel,Fnatic,Defeat,37:22,58.5,69.2
Rogue,G2 Esports,Defeat,25:48,40.6,53
Misfits Gaming,Fnatic,Defeat,29:40,46.5,59
Rogue,Fnatic,Defeat,27:47,42.8,56.9
Misfits Gaming,Fnatic,Defeat,48:26,81.3,87.2
Misfits Gaming,Fnatic,Defeat,24:56,41.2,57.4
Rogue,Fnatic,Victory,37:06,69.7,59.3
Rogue,Fnatic,Victory,36:45,68.9,60.5
Fnatic,Rogue,Defeat,33:03,50.5,67.8
G2 Esports,Rogue,Defeat,30:57,48.2,61.1
G2 Esports,Rogue,Defeat,43:30,73.8,83.8
Rogue,G2 Esports,Victory,29:09,57.5,47.7
DRX,Liiv SANDBOX,Defeat,36:35,63.7,67.7
DRX,Liiv SANDBOX,Defeat,34:30,60.7,67.2
T1,Kwangdong Freecs,Victory,37:13,66.5,58.8
DRX,Gen.G,Defeat,29:38,45.1,58.5
NS RedForce,DWG KIA,Victory,38:56,72.5,62.1
Kwangdong Freecs,T1,Defeat,25:06,38.5,51
NS RedForce,Hanwha Life,Victory,35:53,67.8,57.4
Gen.G,DRX,Victory,25:56,57.2,40
DWG KIA,NS RedForce,Victory,39:01,70.7,61.6
NS RedForce,DWG KIA,Victory,39:08,67,57.6
Hanwha Life,NS RedForce,Victory,32:37,61.7,52.7
NS RedForce,Hanwha Life,Defeat,36:06,60.6,73
Fredit BRION,T1,Victory,42:48,76.3,74.2
KT Rolster,Hanwha Life,Victory,38:31,66.7,63.5
Hanwha Life,KT Rolster,Defeat,37:29,57.8,68.4
KT Rolster,DWG KIA,Defeat,42:48,68.7,76.6
KT Rolster,DWG KIA,Defeat,24:10,40.8,49.2
T1,Fredit BRION,Victory,45:56,86.9,80
DRX,T1,Defeat,27:56,46.8,56.5
T1,DRX,Victory,28:43,56.2,43.4
Fredit BRION,T1,Defeat,41:27,64.7,78.7
Fredit BRION,Gen.G,Defeat,38:03,62.4,74.8
Fredit BRION,Gen.G,Defeat,34:07,56.3,66.7
NS RedForce,Liiv SANDBOX,Victory,30:39,59.5,49.3
NS RedForce,Liiv SANDBOX,Victory,26:08,52.5,41.5
Kwangdong Freecs,KT Rolster,Defeat,35:36,58.2,72.6
Kwangdong Freecs,KT Rolster,Defeat,32:15,48.6,60
Liiv SANDBOX,Kwangdong Freecs,Defeat,34:20,51.3,62.3
Fredit BRION,Hanwha Life,Victory,33:47,62.9,54.3
Hanwha Life,Fredit BRION,Victory,38:35,69.9,67.8
Liiv SANDBOX,Kwangdong Freecs,Defeat,31:03,53.7,59.3
NS RedForce,KT Rolster,Defeat,33:14,55.2,65.6
Fredit BRION,Hanwha Life,Victory,35:13,67.1,52.9
NS RedForce,KT Rolster,Victory,27:40,54.9,44
KT Rolster,NS RedForce,Defeat,29:06,48.7,61.1
DWG KIA,Gen.G,Victory,36:06,68.2,62.8
Gen.G,DWG KIA,Victory,48:07,85.9,83.6
DWG KIA,Fredit BRION,Victory,26:33,48.7,44.9
DWG KIA,Gen.G,Defeat,35:13,59.9,64.4
Fredit BRION,DWG KIA,Defeat,35:22,59.5,64.7
Gen.G,Hanwha Life,Defeat,32:02,51.8,60.8
Gen.G,Hanwha Life,Victory,38:34,74.3,61.3
Hanwha Life,Gen.G,Defeat,28:24,43.6,54.9
Liiv SANDBOX,T1,Defeat,32:24,52.4,63.4
Liiv SANDBOX,T1,Defeat,25:10,39.2,45.4
Gen.G,Kwangdong Freecs,Victory,27:49,54.8,43.8
Kwangdong Freecs,DRX,Defeat,41:13,64,69.7
Kwangdong Freecs,Gen.G,Defeat,32:08,48.1,58.2
Kwangdong Freecs,DRX,Defeat,48:07,81.3,83.5
DRX,Fredit BRION,Victory,39:27,73.7,65
Fredit BRION,DRX,Defeat,26:35,39.6,53.3
KT Rolster,Liiv SANDBOX,Victory,28:41,56.6,42.8
Liiv SANDBOX,KT Rolster,Victory,38:59,70.2,68.7
KT Rolster,Liiv SANDBOX,Defeat,32:05,56.5,61.5
T1,NS RedForce,Victory,46:53,85.1,77.8
NS RedForce,T1,Victory,30:37,57.1,52.3
T1,NS RedForce,Victory,39:46,72.4,62.9
Hanwha Life,DWG KIA,Defeat,30:32,48.4,61.9
Hanwha Life,DWG KIA,Defeat,26:13,40.9,53.1
Fredit BRION,Kwangdong Freecs,Victory,40:54,72.8,69.9
Kwangdong Freecs,Fredit BRION,Defeat,43:25,73.7,75.4
T1,Hanwha Life,Defeat,32:33,55.4,63.1
KT Rolster,Gen.G,Victory,42:42,77.9,71.1
Gen.G,KT Rolster,Defeat,37:39,59.8,69.8
T1,Hanwha Life,Victory,25:05,49.4,40.4
NS RedForce,DRX,Defeat,37:33,61.6,75.1
Hanwha Life,T1,Defeat,46:57,81.8,85.2
NS RedForce,DRX,Defeat,47:08,80.1,87.5
DWG KIA,T1,Victory,55:26,100.9,93.4
NS RedForce,Fredit BRION,Defeat,38:24,68.7,75.8
DRX,KT Rolster,Victory,29:42,54.6,48.8
KT Rolster,DRX,Victory,46:18,84.3,80
T1,DWG KIA,Victory,30:05,61.2,48.7
DWG KIA,T1,Defeat,33:50,62.9,66.1
NS RedForce,Fredit BRION,Victory,40:27,76.4,73.2
DRX,KT Rolster,Victory,32:47,60.7,50.4
DWG KIA,Kwangdong Freecs,Victory,38:37,72.7,63
Hanwha Life,Liiv SANDBOX,Victory,35:37,65.9,55.9
Liiv SANDBOX,Hanwha Life,Defeat,25:08,41,50.1
Fredit BRION,NS RedForce,Victory,36:15,69.5,59.2
DRX,Hanwha Life,Victory,35:17,67.4,57
Kwangdong Freecs,DWG KIA,Defeat,31:49,51.8,60.6
Hanwha Life,DRX,Victory,42:50,71.7,73.9
Liiv SANDBOX,Gen.G,Victory,31:31,63.7,51.7
Liiv SANDBOX,Gen.G,Defeat,29:37,45.3,57.2
DRX,Hanwha Life,Victory,40:31,74.6,66.9
T1,Gen.G,Victory,45:46,90.4,81.2
Liiv SANDBOX,Gen.G,Defeat,31:36,52.6,63.4
T1,Gen.G,Victory,30:33,59.8,47.9
Liiv SANDBOX,Fredit BRION,Victory,30:49,56.7,51.9
Liiv SANDBOX,DWG KIA,Defeat,30:25,55,60.9
Fredit BRION,Liiv SANDBOX,Victory,33:59,67.4,54.8
Liiv SANDBOX,Fredit BRION,Victory,30:28,57.8,46.8
Liiv SANDBOX,DWG KIA,Defeat,37:21,59.6,67.5
NS RedForce,Gen.G,Defeat,29:10,48.6,60.9
Kwangdong Freecs,NS RedForce,Victory,29:40,58.2,46.1
NS RedForce,Gen.G,Defeat,28:15,49.3,57.6
Hanwha Life,Kwangdong Freecs,Defeat,34:33,55.2,66.3
NS RedForce,Kwangdong Freecs,Defeat,27:37,41.9,56.3
Fredit BRION,KT Rolster,Defeat,44:34,78.8,82.6
Hanwha Life,Kwangdong Freecs,Defeat,43:56,77.3,78.6
DWG KIA,DRX,Victory,35:50,63.7,59.5
Fredit BRION,KT Rolster,Victory,40:03,73.4,63.2
KT Rolster,Fredit BRION,Victory,37:27,68.5,63.4
DRX,DWG KIA,Victory,34:31,61,52.3
DWG KIA,DRX,Defeat,46:46,74.3,79
KT Rolster,T1,Defeat,32:35,62.3,66.4
KT Rolster,T1,Defeat,22:01,39,49.3
Gen.G,Liiv SANDBOX,Victory,26:17,56.9,42.6
Liiv SANDBOX,Gen.G,Defeat,32:03,53.9,63.3
Hanwha Life,DRX,Victory,32:01,65.5,52
DRX,Hanwha Life,Defeat,42:49,65.7,74.7
Kwangdong Freecs,Fredit BRION,Victory,29:32,53.9,46.3
Fredit BRION,Kwangdong Freecs,Victory,45:03,80.7,79.1
Kwangdong Freecs,Fredit BRION,Victory,45:02,80.7,75
DWG KIA,KT Rolster,Defeat,34:59,55.1,66.2
DWG KIA,KT Rolster,Victory,29:50,52.5,47.5
DWG KIA,KT Rolster,Victory,39:42,72.7,69.1
KT Rolster,Kwangdong Freecs,Defeat,34:00,56.1,65.7
NS RedForce,T1,Defeat,39:34,63.3,71
KT Rolster,Kwangdong Freecs,Defeat,27:53,41.8,55.2
T1,DWG KIA,Victory,30:05,62.5,48.8
NS RedForce,T1,Victory,40:57,79.7,73.5
T1,NS RedForce,Victory,29:40,56.4,46.7
Gen.G,NS RedForce,Victory,26:04,54.7,42.5
DWG KIA,T1,Defeat,46:16,79.7,82.1
Fredit BRION,DRX,Defeat,30:56,50.5,62.4
Gen.G,NS RedForce,Victory,23:45,51.3,36.3
Fredit BRION,DRX,Victory,33:52,63.8,54.6
DRX,Fredit BRION,Victory,28:47,56.4,43.4
Kwangdong Freecs,DWG KIA,Defeat,34:51,54.5,66.5
Kwangdong Freecs,DWG KIA,Defeat,35:03,56.9,64.5
Liiv SANDBOX,Hanwha Life,Victory,38:08,75.3,67.1
Hanwha Life,Liiv SANDBOX,Defeat,36:39,60.9,68.1
KT Rolster,Fredit BRION,Defeat,32:03,51,65.4
KT Rolster,Fredit BRION,Defeat,33:41,54.6,67.7
Hanwha Life,T1,Defeat,30:25,51.3,61.1
Hanwha Life,T1,Defeat,26:36,43.3,53
DRX,Gen.G,Defeat,29:12,49.8,60.5
DRX,Gen.G,Defeat,31:59,54.2,62.2
Liiv SANDBOX,NS RedForce,Defeat,27:42,45.5,55.4
Liiv SANDBOX,NS RedForce,Victory,41:38,79.2,74.2
NS RedForce,Liiv SANDBOX,Victory,39:46,77.4,63.8
Fredit BRION,Hanwha Life,Victory,34:57,66.1,55.6
Hanwha Life,Fredit BRION,Victory,29:17,56.1,46
Fredit BRION,Hanwha Life,Victory,35:31,64.9,62.7
DWG KIA,Liiv SANDBOX,Victory,28:46,55.1,46.8
Liiv SANDBOX,DWG KIA,Defeat,25:58,39.9,54
Gen.G,T1,Defeat,32:04,51.8,63.7
DRX,KT Rolster,Victory,41:39,77.2,75.1
Gen.G,T1,Defeat,35:54,59.2,66.6
NS RedForce,Kwangdong Freecs,Defeat,29:22,46,59.5
DRX,KT Rolster,Victory,28:21,59.2,47.5
Kwangdong Freecs,NS RedForce,Victory,40:46,73.6,68.5
NS RedForce,DRX,Defeat,33:39,55,65.5
DWG KIA,Hanwha Life,Victory,47:49,83.5,81.6
NS RedForce,DRX,Defeat,31:12,50.1,57.1
DWG KIA,Gen.G,Defeat,41:38,69.5,80.2
Hanwha Life,DWG KIA,Defeat,34:30,54.7,62.5
DWG KIA,Gen.G,Victory,36:16,66.4,59.1
Gen.G,DWG KIA,Victory,42:19,76.7,65
Gen.G,Kwangdong Freecs,Defeat,35:13,57,66.3
Kwangdong Freecs,Gen.G,Defeat,36:43,61.1,68.6
Hanwha Life,KT Rolster,Defeat,31:58,49.9,63.5
KT Rolster,Hanwha Life,Victory,33:05,64.6,56.4
Gen.G,Kwangdong Freecs,Victory,33:05,65.3,55
Fredit BRION,Liiv SANDBOX,Victory,28:38,59.8,41.4
Liiv SANDBOX,Fredit BRION,Defeat,31:04,48,55.8
Fredit BRION,NS RedForce,Victory,43:48,83.9,74.9
NS RedForce,Fredit BRION,Victory,41:26,76.4,67.4
Fredit BRION,NS RedForce,Victory,38:36,74.5,60.7
Liiv SANDBOX,DRX,Defeat,30:47,47.7,63.4
Kwangdong Freecs,T1,Defeat,36:20,57.2,68.9
Liiv SANDBOX,DRX,Defeat,29:59,45,58.4
T1,KT Rolster,Victory,35:05,67.1,63.1
Kwangdong Freecs,T1,Victory,31:00,57.9,51.8
Kwangdong Freecs,T1,Defeat,30:08,47.4,61.6
KT Rolster,T1,Defeat,34:12,61.1,65.1
DWG KIA,NS RedForce,Victory,41:43,76.1,67.2
NS RedForce,DWG KIA,Defeat,33:52,51.1,67.8
Liiv SANDBOX,KT Rolster,Defeat,29:32,47.2,62.5
NS RedForce,KT Rolster,Victory,37:15,69.8,60.1
Liiv SANDBOX,KT Rolster,Defeat,34:29,60.2,68.2
Hanwha Life,Gen.G,Defeat,29:08,44.1,59.4
KT Rolster,NS RedForce,Victory,33:44,64.2,56.9
NS RedForce,KT Rolster,Defeat,25:54,38,53.8
Hanwha Life,Gen.G,Defeat,43:05,72.9,82.9
T1,Fredit BRION,Victory,19:06,44.8,29
Fredit BRION,T1,Defeat,19:54,29.5,46.5
DRX,Kwangdong Freecs,Defeat,34:05,53.6,62.9
DRX,Kwangdong Freecs,Victory,40:59,76.5,66.8
Kwangdong Freecs,DRX,Defeat,31:08,48.6,60.1
T1,Liiv SANDBOX,Defeat,41:06,74.7,77.9
Liiv SANDBOX,T1,Defeat,21:33,32.3,48.7
T1,Liiv SANDBOX,Victory,24:54,53,38.1
Gen.G,KT Rolster,Victory,31:59,65.9,50.1
KT Rolster,Gen.G,Victory,21:05,42.3,33
Kwangdong Freecs,Hanwha Life,Victory,38:00,70.9,61
Gen.G,KT Rolster,Victory,27:32,58.1,46.3
NS RedForce,Hanwha Life,Victory,43:18,78.4,71.8
Hanwha Life,Kwangdong Freecs,Victory,38:46,75.8,65.1
Kwangdong Freecs,Hanwha Life,Victory,31:46,65.4,49.8
Hanwha Life,NS RedForce,Defeat,27:33,43.3,54.4
NS RedForce,DRX,Defeat,46:46,88.6,92.2
NS RedForce,DRX,Defeat,41:40,69.4,76.3
Fredit BRION,DWG KIA,Victory,39:54,72.9,63.1
KT Rolster,Gen.G,Defeat,32:46,52.7,65.1
KT Rolster,Gen.G,Defeat,34:53,57.7,69.7
Gen.G,Hanwha Life,Victory,23:44,50.8,34.4
DWG KIA,Fredit BRION,Defeat,27:25,42.4,50.6
Fredit BRION,DWG KIA,Defeat,35:36,55.3,60.6
Fredit BRION,DWG KIA,Defeat,41:31,72.1,77.3
Hanwha Life,Gen.G,Defeat,30:36,47.9,61.5
Kwangdong Freecs,Liiv SANDBOX,Victory,31:59,59.6,52
Liiv SANDBOX,Kwangdong Freecs,Defeat,34:55,55.1,65.9
Liiv SANDBOX,Kwangdong Freecs,Victory,36:41,65.9,58.7
DRX,Fredit BRION,Victory,40:39,81.9,67.7
Fredit BRION,DRX,Defeat,40:03,65.3,73.8
T1,DRX,Victory,29:25,56.2,43.8
DRX,T1,Defeat,30:31,49.5,60.7
Kwangdong Freecs,Liiv SANDBOX,Defeat,33:11,53.6,60.2
KT Rolster,T1,Victory,31:57,63.1,56.1
T1,KT Rolster,Victory,30:40,61.2,52.6
Kwangdong Freecs,Fredit BRION,Victory,41:40,71.6,67.7
T1,NS RedForce,Victory,38:10,78.8,60.9
KT Rolster,T1,Defeat,44:20,79.5,85.7
DWG KIA,Liiv SANDBOX,Victory,28:02,58.8,44.9
NS RedForce,T1,Defeat,46:29,83.2,89.6
Liiv SANDBOX,DWG KIA,Defeat,27:25,41.9,52.6
Gen.G,DWG KIA,Victory,30:02,57.6,50.4
DWG KIA,Gen.G,Victory,32:40,60.8,56.1
Gen.G,DWG KIA,Victory,29:33,62.1,50.1
Fredit BRION,KT Rolster,Defeat,35:44,62.5,68.3
Fredit BRION,KT Rolster,Defeat,34:45,59.5,66.7
Kwangdong Freecs,NS RedForce,Defeat,45:22,81.3,86.5
Kwangdong Freecs,NS RedForce,Defeat,33:13,55.1,64.7
T1,Liiv SANDBOX,Victory,26:37,55.6,44
Liiv SANDBOX,T1,Defeat,24:03,36.8,46.4
Hanwha Life,DRX,Defeat,28:50,43.5,56.6
Hanwha Life,DRX,Victory,33:10,65.6,56.1
DRX,Hanwha Life,Victory,33:04,62.6,55
Fredit BRION,Gen.G,Defeat,26:31,40.1,53.7
Fredit BRION,Gen.G,Defeat,27:30,43.5,53.9
DWG KIA,T1,Defeat,31:36,53,62
DWG KIA,T1,Defeat,31:48,53.4,61.9
Liiv SANDBOX,KT Rolster,Victory,37:35,69.5,66.2
KT Rolster,Liiv SANDBOX,Defeat,39:30,68.3,71.1
Hanwha Life,NS RedForce,Defeat,27:39,44.3,53.2
Hanwha Life,NS RedForce,Victory,30:15,58.4,47.7
NS RedForce,Hanwha Life,Victory,35:06,59,61.4
DRX,Kwangdong Freecs,Victory,35:02,70.6,60.1
Kwangdong Freecs,DRX,Defeat,32:09,49.5,63
Liiv SANDBOX,DRX,Victory,27:08,55.2,47.8
Liiv SANDBOX,DRX,Defeat,41:36,70.9,76.8
DRX,Liiv SANDBOX,Defeat,31:34,54.4,61.9
Liiv SANDBOX,Fredit BRION,Victory,32:56,63,57.4
T1,Kwangdong Freecs,Victory,27:56,55,43.6
T1,Kwangdong Freecs,Defeat,31:17,52.6,57.3
Fredit BRION,Liiv SANDBOX,Defeat,26:06,43.3,53.7
Gen.G,Kwangdong Freecs,Victory,29:50,60.3,43.6
T1,Kwangdong Freecs,Defeat,38:51,71,73.7
Gen.G,Kwangdong Freecs,Victory,32:03,60.5,49.3
DWG KIA,NS RedForce,Victory,30:58,60.8,47.1
Fredit BRION,Hanwha Life,Victory,41:32,74.1,60.6
DWG KIA,NS RedForce,Victory,26:30,53.4,41.1
KT Rolster,Hanwha Life,Victory,31:03,60.9,50.6
Hanwha Life,Fredit BRION,Victory,33:03,66.4,59.3
Hanwha Life,KT Rolster,Defeat,30:01,46.9,61.5
Fredit BRION,Hanwha Life,Defeat,29:37,45.3,54.6
Gen.G,NS RedForce,Victory,34:06,67.3,56
NS RedForce,Gen.G,Defeat,27:47,44,53.2
NS RedForce,KT Rolster,Victory,35:05,64.4,56.5
KT Rolster,DWG KIA,Defeat,28:14,46.1,58.3
DWG KIA,KT Rolster,Victory,37:17,73,62.9
KT Rolster,NS RedForce,Victory,30:35,64.5,57.3
NS RedForce,KT Rolster,Defeat,39:20,71.5,73
T1,DRX,Victory,39:01,72.9,66.2
Kwangdong Freecs,Fredit BRION,Victory,30:23,61.2,47.1
NS RedForce,Liiv SANDBOX,Defeat,36:46,59.2,68.4
T1,DRX,Victory,29:56,56,47.6
Kwangdong Freecs,Fredit BRION,Victory,47:09,85.4,81.2
NS RedForce,Liiv SANDBOX,Defeat,29:34,48,62.5
Hanwha Life,DWG KIA,Defeat,42:12,77.4,79.1
DWG KIA,DRX,Defeat,31:33,48.9,63.9
Hanwha Life,DWG KIA,Defeat,27:58,44.7,58.9
DRX,Gen.G,Defeat,44:03,75.5,84.6
DWG KIA,DRX,Victory,40:23,74.7,66.8
DWG KIA,DRX,Defeat,35:43,55.5,68
DRX,Gen.G,Defeat,29:50,46.1,61.4
T1,Fredit BRION,Victory,29:15,53.8,45.2
Hanwha Life,Liiv SANDBOX,Victory,31:11,60,55.6
Fredit BRION,T1,Defeat,23:42,40.3,55.5
Liiv SANDBOX,Hanwha Life,Victory,24:56,55.1,39.6
Hanwha Life,Liiv SANDBOX,Defeat,27:41,46.6,55.8
Gen.G,T1,Victory,30:21,60.4,47.9
Hanwha Life,T1,Defeat,32:42,54.5,62.3
T1,Gen.G,Victory,30:20,59.1,49.6
Gen.G,T1,Defeat,31:44,51.6,58.1
Hanwha Life,T1,Victory,36:46,70.7,63.7
T1,Hanwha Life,Victory,30:28,62.7,50.6
Kwangdong Freecs,KT Rolster,Victory,29:16,55.9,45.6
KT Rolster,Kwangdong Freecs,Victory,25:44,52,41.1
Gen.G,Liiv SANDBOX,Victory,19:36,44.7,26.9
Kwangdong Freecs,KT Rolster,Victory,33:09,64.7,55.5
KT Rolster,Kwangdong Freecs,Victory,42:06,75.8,67.9
Liiv SANDBOX,Gen.G,Defeat,28:33,51.2,59.7
KT Rolster,DRX,Defeat,40:52,63.7,73.1
Kwangdong Freecs,KT Rolster,Defeat,32:14,51.4,65.7
DRX,T1,Defeat,26:58,39.6,52.7
KT Rolster,DRX,Victory,44:26,81.4,73.1
DRX,T1,Defeat,32:09,58.2,69.2
DWG KIA,Fredit BRION,Victory,29:53,56.1,42.6
DRX,KT Rolster,Defeat,28:33,45.2,57.5
DWG KIA,Kwangdong Freecs,Victory,34:02,68.5,50.7
Fredit BRION,DWG KIA,Defeat,28:58,47.8,58
Gen.G,NS RedForce,Victory,26:16,56,41.2
Kwangdong Freecs,DWG KIA,Defeat,26:52,46.1,50.2
NS RedForce,Gen.G,Defeat,23:03,33.4,53
Fredit BRION,NS RedForce,Victory,34:17,63.7,59.5
NS RedForce,Fredit BRION,Defeat,31:44,52.4,60.9
Liiv SANDBOX,Hanwha Life,Victory,29:19,58.4,43.9
Fredit BRION,DRX,Victory,32:07,62.5,49.4
Hanwha Life,Liiv SANDBOX,Defeat,26:10,36.8,48.9
DRX,Fredit BRION,Victory,32:23,61.3,51.6
Fredit BRION,DRX,Defeat,42:20,67.1,77.8
Fredit BRION,T1,Victory,32:37,64.6,55.8
NS RedForce,DWG KIA,Defeat,29:41,44.7,55.2
T1,Fredit BRION,Victory,33:37,66.6,55.2
Fredit BRION,T1,Defeat,37:49,62.9,71.2
NS RedForce,DWG KIA,Defeat,37:09,56.8,68.8
KT Rolster,NS RedForce,Victory,31:50,63.1,48.4
NS RedForce,KT Rolster,Victory,35:01,67.8,55.4
T1,Kwangdong Freecs,Defeat,30:52,53.6,61.1
T1,Kwangdong Freecs,Victory,32:26,64.8,53.6
KT Rolster,NS RedForce,Victory,33:39,62.6,52.2
Kwangdong Freecs,Liiv SANDBOX,Defeat,31:41,49.6,60
T1,Kwangdong Freecs,Victory,40:03,70.5,64.2
Liiv SANDBOX,Kwangdong Freecs,Victory,50:37,88.1,80.6
Hanwha Life,Gen.G,Defeat,30:03,42.8,60
Hanwha Life,KT Rolster,Defeat,30:32,47.7,58.4
Hanwha Life,Gen.G,Defeat,28:43,46.3,55.4
Hanwha Life,KT Rolster,Defeat,33:15,53.7,58.7
T1,KT Rolster,Victory,30:25,59.8,47.9
Liiv SANDBOX,Gen.G,Defeat,39:07,65.8,71.6
Liiv SANDBOX,Gen.G,Defeat,30:36,55.5,67.2
KT Rolster,T1,Victory,33:29,62.6,55.7
T1,KT Rolster,Victory,32:10,57.3,52.7
DRX,DWG KIA,Victory,26:54,52.9,42.1
DWG KIA,Hanwha Life,Defeat,39:40,67.7,68.4
DWG KIA,DRX,Victory,26:33,54.4,40
DWG KIA,Hanwha Life,Victory,22:14,43.1,35.3
DRX,DWG KIA,Victory,31:36,63.1,55.9
Hanwha Life,DWG KIA,Defeat,31:38,50.5,59.2
Liiv SANDBOX,NS RedForce,Defeat,31:49,52,58.5
Liiv SANDBOX,NS RedForce,Victory,30:16,55.3,51.4
NS RedForce,Liiv SANDBOX,Victory,28:03,51.3,40.7
DRX,Liiv SANDBOX,Defeat,37:49,63.3,72
Gen.G,DRX,Victory,35:05,69.9,54.8
DRX,Liiv SANDBOX,Victory,38:02,71.7,58.9
Liiv SANDBOX,DRX,Victory,26:26,53.4,41.2
DRX,Gen.G,Defeat,30:06,48,66.3
T1,Gen.G,Defeat,36:04,58.3,65.4
T1,Gen.G,Defeat,24:55,39.5,50.6
Fredit BRION,Kwangdong Freecs,Victory,31:18,57.9,50.1
Hanwha Life,Kwangdong Freecs,Victory,42:01,73.2,68.7
Kwangdong Freecs,Hanwha Life,Victory,31:32,61.1,45.7
Liiv SANDBOX,DWG KIA,Victory,29:58,58.1,45.7
Fredit BRION,Kwangdong Freecs,Defeat,44:31,81.4,79.6
Hanwha Life,Kwangdong Freecs,Defeat,40:33,61.7,74.5
NS RedForce,Fredit BRION,Defeat,31:15,51.5,58.9
DWG KIA,Liiv SANDBOX,Defeat,30:29,50.7,62.9
Fredit BRION,Kwangdong Freecs,Defeat,35:35,54.1,64.7
NS RedForce,Fredit BRION,Defeat,31:18,51.6,61.6
Kwangdong Freecs,Gen.G,Defeat,26:05,38.4,54.9
DWG KIA,KT Rolster,Defeat,46:28,80.1,82.3
Kwangdong Freecs,Gen.G,Defeat,24:22,36,53.6
DWG KIA,KT Rolster,Defeat,46:21,76.2,77.4
KT Rolster,Fredit BRION,Victory,32:40,61.3,54.1
Fredit BRION,KT Rolster,Victory,31:33,62,48.5
KT Rolster,Fredit BRION,Victory,32:43,63.4,53.5
T1,Hanwha Life,Victory,32:25,67.4,49.1
Hanwha Life,Fredit BRION,Victory,36:48,72.2,69.3
Hanwha Life,T1,Defeat,28:01,42.7,58.3
Fredit BRION,Hanwha Life,Victory,30:52,57.9,47.6
Hanwha Life,Fredit BRION,Defeat,35:08,55.8,69.6
DRX,NS RedForce,Victory,37:55,79,65
KT Rolster,Liiv SANDBOX,Defeat,29:29,48.1,59.2
KT Rolster,Liiv SANDBOX,Victory,30:41,64.3,45.8
NS RedForce,DRX,Victory,42:57,78.9,73.4
Liiv SANDBOX,KT Rolster,Victory,37:41,66.5,71.1
NS RedForce,T1,Defeat,29:04,46.6,58.7
DRX,NS RedForce,Victory,28:04,52.6,44.2
NS RedForce,T1,Victory,34:04,67.1,56
